#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
32 in 1 (Australia);32 in 1 (Australia);Atari7800;;;;;;;;;;;;;;;;;;
7800 Monitor Cart (USA) (Program) (Unl);7800 Monitor Cart (USA) (Program) (Unl);Atari7800;;;;;;;;;;;;;;;;;;
Ace of Aces (Europe);Ace of Aces (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Ace of Aces (USA);Ace of Aces (USA);Atari7800;;;;;;;;;;;;;;;;;;
Alien Brigade (Europe);Alien Brigade (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Alien Brigade (USA);Alien Brigade (USA);Atari7800;;;;;;;;;;;;;;;;;;
Asteroids (USA);Asteroids (USA);Atari7800;;;;;;;;;;;;;;;;;;
Asteroids (USA) (Beta);Asteroids (USA) (Beta);Atari7800;;;;;;;;;;;;;;;;;;
Atari 7800 Development Card (USA);Atari 7800 Development Card (USA);Atari7800;;;;;;;;;;;;;;;;;;
Ballblazer (Europe);Ballblazer (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Ballblazer (USA);Ballblazer (USA);Atari7800;;;;;;;;;;;;;;;;;;
Barnyard Blaster (Europe);Barnyard Blaster (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Barnyard Blaster (USA);Barnyard Blaster (USA);Atari7800;;;;;;;;;;;;;;;;;;
Baseball (Europe);Baseball (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Basketbrawl (Europe);Basketbrawl (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Basketbrawl (USA);Basketbrawl (USA);Atari7800;;;;;;;;;;;;;;;;;;
Centipede (Europe);Centipede (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Centipede (USA);Centipede (USA);Atari7800;;;;;;;;;;;;;;;;;;
Choplifter! (Europe);Choplifter! (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Choplifter! (USA);Choplifter! (USA);Atari7800;;;;;;;;;;;;;;;;;;
Commando (Europe);Commando (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Commando (USA);Commando (USA);Atari7800;;;;;;;;;;;;;;;;;;
Crack'ed (Europe);Crack'ed (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Crack'ed (USA);Crack'ed (USA);Atari7800;;;;;;;;;;;;;;;;;;
Crossbow (Europe);Crossbow (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Crossbow (USA);Crossbow (USA);Atari7800;;;;;;;;;;;;;;;;;;
Dark Chambers (Europe);Dark Chambers (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Dark Chambers (USA);Dark Chambers (USA);Atari7800;;;;;;;;;;;;;;;;;;
Desert Falcon (Europe);Desert Falcon (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Desert Falcon (USA);Desert Falcon (USA);Atari7800;;;;;;;;;;;;;;;;;;
Diagnostic Test Cartrige (USA);Diagnostic Test Cartrige (USA);Atari7800;;;;;;;;;;;;;;;;;;
Diagnostic Test Cartrige (USA) (Beta);Diagnostic Test Cartrige (USA) (Beta);Atari7800;;;;;;;;;;;;;;;;;;
Dig Dug (Europe);Dig Dug (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Dig Dug (USA);Dig Dug (USA);Atari7800;;;;;;;;;;;;;;;;;;
Donkey Kong (Europe);Donkey Kong (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Donkey Kong (USA);Donkey Kong (USA);Atari7800;;;;;;;;;;;;;;;;;;
