#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
16BIT Rhythm Land (World) (Unl);16BIT Rhythm Land (World) (Unl);Genesis;;;;;;;;;;;;;;;;;;
3 Ninjas Kick Back (USA);3 Ninjas Kick Back (USA);Genesis;;1994;;;2;;;;;;3ninja;3 Ninjas Kick Back;;;;;;
6-Pak (USA);6-Pak (USA);Genesis;;1995;;;2;;;;;;6pak;6-Pak;;;;;;
688 Attack Sub (USA, Europe);688 Attack Sub (Euro, USA);Genesis;;1991;;;1;;;;;;688atsub;688 Attack Sub;;;;;;
Bug's Life, A (Taiwan) (En) (Unl);A Bug's Life;Genesis;;199?;;;1;;;;;;bugslife;A Bug's Life;;;;;;
Dinosaur's Tale, A (USA);A Dinosaur's Tale (USA);Genesis;;1993;;;;;;;;;dinotale;A Dinosaur's Tale;;;;;;
ATP Tour Championship Tennis (USA);ATP Tour Championship Tennis (USA);Genesis;atptour;1994;;;4;;;;;;atptouru;ATP Tour Championship Tennis;;;;;;
Pro Moves Soccer (USA);AWS Pro Moves Soccer (USA);Genesis;;1993;ASCII Entertainment;;;;;;;;awspro;;;;;;;
Aaahh!!! Real Monsters (USA);Aaahh!!! Real Monsters (USA);Genesis;aaahhrm;1995;;;2;;;;;;aaahhrmu;AAAHH!!! Real Monsters;;;;;;
M-1 Abrams Battle Tank (USA, Europe);Abrams Battle Tank (Euro, USA);Genesis;;1991;Sega;;;;;;;;abrams;M-1 Abrams Battle Tank (Box);;;;;;
Action 52 (USA) (Unl);Action 52 (USA);Genesis;;1993;;;1;;;;;;action52;Action 52;;;;;;
Addams Family, The (USA, Europe);The Addams Family (Euro, USA);Genesis;;1993;;;1;;;;;;addfam;The Addams Family;;;;;;
Addams Family Values (Europe) (En,Fr,De);Addams Family Values (Euro);Genesis;;1995;;;1;;;;;;addfamv;Addams Family Values;;;;;;
Adventures of Batman & Robin, The (USA);The Adventures of Batman & Robin (USA);Genesis;advbatr;1995;;;1;;;;;;advbatru;The Adventures of Batman & Robin;;;;;;
Adventures of Mighty Max, The (USA);The Adventures of Mighty Max (USA);Genesis;mightmax;1994;;;1;;;;;;mightmaxu;The Adventures of Mighty Max;;;;;;
Adventures of Rocky and Bullwinkle and Friends, The (USA);The Adventures of Rocky and Bullwinkle and Friends (USA);Genesis;;1993;;;1;;;;;;rockybw;The Adventures of Rocky and Bullwinkle and Friends;;;;;;
Aero the Acro-Bat (USA);Aero the Acro-Bat (USA);Genesis;aero;1993;;;1;;;;;;aerou;Aero the Acro-Bat;;;;;;
Aero the Acro-Bat 2 (USA);Aero the Acro-Bat 2 (USA);Genesis;aero2;1994;;;1;;;;;;aero2u;Aero the Acro-Bat 2;;;;;;
Aerobiz (USA);Aerobiz (USA);Genesis;;1992;;;4;;;;;;aerobiz;Aerobiz;;;;;;
Aerobiz Supersonic (USA);Aerobiz Supersonic (USA);Genesis;;1994;;;4;;;;;;aerobizs;Aerobiz Supersonic;;;;;;
After Burner II (USA, Europe);After Burner II (Euro, USA);Genesis;;1990;;;1;;;;;;aburner2;After Burner II;;;;;;
Air Buster (USA);Air Buster - Trouble Specialty Raid Unit (USA);Genesis;;1991;Kaneko;;;;;;;;airbustr;;;;;;;
Air Diver (USA);Air Diver (USA);Genesis;;1990;;;1;;;;;;airdiver;Air Diver;;;;;;
Aladdin II (Taiwan) (En) (Unl);Aladdin II;Genesis;;199?;<unlicensed>;;;;;;;;aladdin2;;;;;;;
Alex Kidd in the Enchanted Castle (USA);Alex Kidd in the Enchanted Castle (USA);Genesis;alexkidd;1989;;;1;;;;;;alexkiddu;Alex Kidd in the Enchanted Castle;;;;;;
Alien Soldier (USA) (Virtual Console);Alien Soldier (Euro);Genesis;;1995;;;1;;;;;;aliensol;Alien Soldier;;;;;;
Alien Storm (World);Alien Storm (World);Genesis;;1991;;;1;;;;;;astorm;エイリアン ストーム;;;;;;
Alien 3 (USA, Europe) (Rev A);Alien³ (Euro, USA, Rev. A);Genesis;;1993;;;1;;;;;;alien3;Alien;;;;;;
Alisia Dragoon (USA);Alisia Dragoon (USA);Genesis;alisiad;1992;;;1;;;;;;alisiadu;Alisia Dragoon;;;;;;
Altered Beast (USA, Europe);Altered Beast (Euro, USA);Genesis;;1989;;;2;;;;;;altbeast;Altered Beast;;;;;;
American Gladiators (USA);American Gladiators (USA);Genesis;;1992;;;2;;;;;;amerglad;American Gladiators;;;;;;
Andre Agassi Tennis (USA);Andre Agassi Tennis (USA);Genesis;agassi;1992;;;2;;;;;;agassiu;Andre Agassi Tennis;;;;;;
Animaniacs (USA);Animaniacs (USA);Genesis;animania;1994;;;1;;;;;;animaniau;Animaniacs;;;;;;
