#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
88games;'88 Games;MAME;;1988;Konami;;4;0;only_buttons,only_buttons,only_buttons,only_buttons;good;1;raster;;;;3;;;;
flagrall;'96 Flag Rally;MAME;;1996;Promat?;;1;0;joystick (8-way);good;1;raster;;;;2;;;;
005;005;MAME;;1981;Sega;;2;270;joystick (4-way),joystick (4-way);imperfect;1;raster;;;;1;;;;
1on1gov;1 on 1 Government (Japan);MAME;;2000;Tecmo;;4;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;coh1002m;;;3;;;;
10yard;10-Yard Fight (World, set 1);MAME;;1983;Irem;;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
gtmr;1000 Miglia: Great 1000 Miles Rally (Taiwan 94/07/18);MAME;;1994;Kaneko;;2;0;joystick (8-way),dial,paddle,joystick (8-way);good;1;raster;;;;2;;;;
progolf;18 Holes Pro Golf (set 1);MAME;;1981;Data East Corporation;;2;270;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;1;;;;
1941;1941: Counter Attack (World 900227);MAME;;1990;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
1942;1942 (Revision B);MAME;;1984;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
1943kai;1943 Kai: Midway Kaisen (Japan);MAME;;1987;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
1943;1943: The Battle of Midway (Euro);MAME;;1987;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
1943mii;1943: The Battle of Midway Mark II (US);MAME;;1987;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
1944;1944: The Loop Master (USA 000620);MAME;;2000;Eighting / Raizing (Capcom license);;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
1945kiii;1945k III (newer, OPCX2 PCB);MAME;;2000;Oriental Soft;;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;4;;;;
19xx;19XX: The War Against Destiny (Euro 960104);MAME;;1996;Capcom;;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
openice;2 On 2 Open Ice Challenge (rev 1.21);MAME;;1995;Midway;;4;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;;
2020bb;2020 Super Baseball (set 1);MAME;;1991;SNK / Pallas;;2;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;;;4;;;;
280zzzap;280-ZZZAP;MAME;;1976;Dave Nutting Associates / Midway;;1;0;paddle,pedal;good;1;raster;;;;1;;;;
3countb;3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043);MAME;;1993;SNK;;2;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;;;4;;;;
4enraya;4 En Raya (set 1);MAME;;1990;IDSA;;2;0;joystick (2-way),joystick (2-way);good;1;raster;;;;2;;;;
