#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
20 em 1 (Brazil);20 em 1 (Brazil);MasterSystem;;;;;1;;;;;;;20 em 1;;;;;;
4 PAK All Action (Australia) (Unl);4 PAK All Action (Australia) (Unl);MasterSystem;;;;;2;;;;;;;4 PAK All Action;;;;;;
Ace of Aces (Europe, Brazil);Ace of Aces (Europe, Brazil);MasterSystem;;;;;1;;;;;;;Ace of Aces;;;;;;
Action Fighter (USA, Europe, Brazil) (Rev 1);Action Fighter (USA, Europe, Brazil) (Rev 1);MasterSystem;;;;;2;;;;;;;Action Fighter;;;;;;
Addams Family, The (Europe);Addams Family, The (Europe);MasterSystem;;;;;1;;;;;;;The Addams Family;;;;;;
Aerial Assault (USA);Aerial Assault (USA);MasterSystem;;;;;1;;;;;;;Aerial Assault;;;;;;
After Burner (World);After Burner (World);MasterSystem;;;;;1;;;;;;;After Burner;;;;;;
Air Rescue (Europe, Brazil);Air Rescue (Europe, Brazil);MasterSystem;;;;;1;;;;;;;Air Rescue;;;;;;
Aladdin (Europe, Brazil);Aladdin (Europe, Brazil);MasterSystem;;;;;;;;;;;;;;;;;;
Alex Kidd - High-Tech World (USA, Europe, Brazil);Alex Kidd - High-Tech World (USA, Europe, Brazil);MasterSystem;;;;;1;;;;;;;Alex Kidd: High-Tech World;;;;;;
Alex Kidd - The Lost Stars (World);Alex Kidd - The Lost Stars (World);MasterSystem;;;;;1;;;;;;;Alex Kidd: The Lost Stars;;;;;;
Alex Kidd in Miracle World (USA, Europe, Brazil) (Rev 1);Alex Kidd in Miracle World (USA, Europe, Brazil) (Rev 1);MasterSystem;;;;;1;;;;;;;Alex Kidd in Miracle World (Virtual Console);;;;;;
Alex Kidd in Miracle World 2 (World) (Unl);Alex Kidd in Miracle World 2 (World) (Unl);MasterSystem;;;;;;;;;;;;;;;;;;
