#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
007 - The World Is Not Enough (USA);007 - The World Is Not Enough (USA);N64;007twine;2000;Electronic Arts;;;;;;;;007twineu;;;;;;;
1080 Snowboarding (Japan, USA) (En,Ja);1080° Snowboarding (Australia, Europe);N64;;1998;Nintendo;;;;;;;;1080snow;;;;;;;
AeroFighters Assault (USA);AeroFighters Assault (USA);N64;aerofgt;1998;Video System;;;;;;;;aerofgtu;;;;;;;
AeroGauge (USA);AeroGauge (USA);N64;aerogaug;1998;ASCII Entertainment;;;;;;;;aerogaugu;;;;;;;
Aidyn Chronicles - The First Mage (USA) (Rev 1);Aidyn Chronicles - The First Mage (Europe);N64;;2001;T*HQ;;;;;;;;aidynchr;;;;;;;
Airboarder 64 (Europe);Air Boarder 64 (Europe);N64;;1998;Human Entertainment;;;;;;;;airboard;;;;;;;
All Star Tennis 99 (USA);All Star Tennis '99 (Europe);N64;;1999;Ubi Soft;;;;;;;;astenn99;;;;;;;
All-Star Baseball 99 (USA);All-Star Baseball '99 (Europe);N64;;1998;Acclaim Entertainment;;;;;;;;asbase99;;;;;;;
All-Star Baseball 2000 (USA);All-Star Baseball 2000 (USA);N64;asbase2k;1999;Acclaim Entertainment;;;;;;;;asbase2ku;;;;;;;
All-Star Baseball 2001 (USA);All-Star Baseball 2001 (USA);N64;;2000;Acclaim Entertainment;;;;;;;;asbas2k1;;;;;;;
Armorines - Project S.W.A.R.M. (USA);Armorines - Project S.W.A.R.M. (USA);N64;armorine;1999;Acclaim Entertainment;;;;;;;;armorineu;;;;;;;
Army Men - Air Combat (USA);Army Men - Air Combat (USA);N64;;2000;3DO Company;;;;;;;;amenairc;;;;;;;
Army Men - Sarge's Heroes (USA);Army Men - Sarge's Heroes (USA);N64;amensarg;1999;3DO Company;;;;;;;;amensargu;;;;;;;
Army Men - Sarge's Heroes 2 (USA);Army Men - Sarge's Heroes 2 (USA);N64;;2000;3DO Company;;;;;;;;amensar2;;;;;;;
Asteroids Hyper 64 (USA);Asteroids Hyper 64 (USA);N64;;1999;Crave Entertainment;;;;;;;;asteroid;;;;;;;
Automobili Lamborghini (USA);Automobili Lamborghini (USA);N64;lamborg;1997;Titus;;;;;;;;lamborgu;;;;;;;
Banjo-Kazooie (USA) (Rev 1);Banjo-Kazooie (Australia, Europe);N64;;1998;Nintendo;;;;;;;;banjokaz;;;;;;;
Banjo-Tooie (USA);Banjo-Tooie (USA);N64;banjotoo;2000;Nintendo;;;;;;;;banjotoou;;;;;;;
Bassmasters 2000 (USA);Bassmasters 2000 (USA);N64;;1999;T*HQ;;;;;;;;bassmast;;;;;;;
Batman Beyond - Return of the Joker (USA);Batman Beyond - Return of the Joker (USA);N64;batmnfut;2000;Ubi Soft;;;;;;;;batmnbey;;;;;;;
BattleTanx (USA);BattleTanx (USA);N64;;1998;3DO Company;;;;;;;;btanx;;;;;;;
BattleTanx - Global Assault (USA);BattleTanx - Global Assault (USA);N64;globassl;1999;3DO Company;;;;;;;;globasslu;;;;;;;
Battlezone - Rise of the Black Dogs (USA);Battlezone - Rise of the Black Dogs (USA);N64;;2000;Crave Entertainment;;;;;;;;bzone;;;;;;;
Beetle Adventure Racing! (USA) (En,Fr,De);Beetle Adventure Racing! (Europe);N64;;1999;Electronic Arts;;;;;;;;beetlear;;;;;;;
Big Mountain 2000 (USA);Big Mountain 2000 (USA);N64;;2000;South Peak;;;;;;;;bigmount;;;;;;;
Bio F.R.E.A.K.S. (USA);Bio F.R.E.A.K.S. (USA);N64;biofreak;1998;Midway;;;;;;;;biofreaku;;;;;;;
Blast Corps (USA) (Rev 1);Blast Corps (Europe);N64;;1997;Nintendo;;;;;;;;blastcrp;;;;;;;
