#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
10-Yard Fight (USA, Europe);10-Yard Fight (Euro, USA);NES;;1985;Nintendo;;;;;;;;10yard;;;;;;;
1942 (Japan, USA);1942 (Jpn, USA);NES;;1985;Capcom;;;;;;;;1942;;;;;;;
1943 - The Battle of Midway (USA);1943 - The Battle of Midway (USA);NES;;1988;Capcom;;;;;;;;1943;;;;;;;
3-D WorldRunner (USA);The 3-D Battles of Worldrunner (USA);NES;;1987;Acclaim Entertainment;;;;;;;;3dworldr;;;;;;;
Caltron - 6 in 1 (USA) (Unl);6 in 1 (USA);NES;6in1hes;1992;Caltron;;;;;;;;6in1cal;;;;;;;
720 Degrees (USA);720° (USA);NES;;1989;Mindscape;;;;;;;;720;;;;;;;
8 Eyes (USA);8 Eyes (USA);NES;;1990;Taxan;;;;;;;;8eyes;;;;;;;
Nightmare on Elm Street, A (USA);A Nightmare on Elm Street (USA);NES;;1990;LJN;;;;;;;;nightmar;;;;;;;
Abadox - The Deadly Inner War (USA);Abadox - The Deadly Inner War (USA);NES;;1990;Milton Bradley;;;;;;;;abadox;;;;;;;
Action 52 (USA) (Rev A) (Unl);Action 52 (USA, Rev. A);NES;;1991;Active Enterprises;;;;;;;;action52;;;;;;;
Addams Family, The (USA);The Addams Family (USA);NES;addfam;1992;Ocean;;;;;;;;addfamu;;;;;;;
Addams Family, The - Pugsley's Scavenger Hunt (USA);The Addams Family - Pugsley's Scavenger Hunt (USA);NES;pugshunt;1993;Ocean;;;;;;;;pugshuntu;;;;;;;
Advanced Dungeons & Dragons - DragonStrike (USA);Advanced Dungeons & Dragons - DragonStrike (USA);NES;;1992;FCI;;;;;;;;drgstrik;;;;;;;
Advanced Dungeons & Dragons - Heroes of the Lance (USA);Advanced Dungeons & Dragons - Heroes of the Lance (USA);NES;;1991;FCI;;;;;;;;herolanc;;;;;;;
Advanced Dungeons & Dragons - Hillsfar (USA);Advanced Dungeons & Dragons - Hillsfar (USA);NES;;1993;FCI;;;;;;;;hillsfar;;;;;;;
Advanced Dungeons & Dragons - Pool of Radiance (USA);Advanced Dungeons & Dragons - Pool of Radiance (USA);NES;;1992;FCI;;;;;;;;poolrad;;;;;;;
Adventure Island 3 (USA);Adventure Island 3 (USA);NES;;1992;Hudson Soft;;;;;;;;advisln3;;;;;;;
Adventure Island II (USA);Adventure Island II (USA);NES;advisln2;1991;Hudson Soft;;;;;;;;advisln2u;;;;;;;
Adventures of Bayou Billy, The (USA);The Adventures of Bayou Billy (USA);NES;bayoubil;1989;Konami;;;;;;;;bayoubilu;;;;;;;
Adventures of Dino Riki (USA);Adventures of DinoRiki (USA);NES;;1989;Hudson Soft;;;;;;;;dinoriki;;;;;;;
Adventures of Gilligan's Island, The (USA);The Adventures of Gilligan's Island (USA);NES;;1990;Bandai;;;;;;;;gilligan;;;;;;;
Adventures of Lolo (USA);Adventures of Lolo (USA);NES;lolo;1989;HAL Laboratory;;;;;;;;lolou;;;;;;;
