#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
2020 Super Baseball (USA);2020 Super Baseball (USA);SuperNES;;;;;;;;;;;;;;;;;;
3 Ninjas Kick Back (USA);3 Ninjas Kick Back (USA);SuperNES;;;;;;;;;;;;;;;;;;
7th Saga, The (USA);7th Saga, The (USA);SuperNES;;;;;;;;;;;;;;;;;;
90 Minutes - European Prime Goal (Europe);90 Minutes - European Prime Goal (Europe);SuperNES;;;;;;;;;;;;;;;;;;
A.S.P. - Air Strike Patrol (USA);A.S.P. - Air Strike Patrol (USA);SuperNES;;;;;;;;;;;;;;;;;;
ABC Monday Night Football (USA);ABC Monday Night Football (USA);SuperNES;;;;;;;;;;;;;;;;;;
ACME Animation Factory (USA);ACME Animation Factory (USA);SuperNES;;;;;;;;;;;;;;;;;;
Aaahh!!! Real Monsters (USA);Aaahh!!! Real Monsters (USA);SuperNES;;;;;;;;;;;;;;;;;;
Acrobat Mission (Japan) (En);Acrobat Mission (Japan) (En);SuperNES;;;;;;;;;;;;;;;;;;
ActRaiser (USA);ActRaiser (USA);SuperNES;;;;;;;;;;;;;;;;;;
ActRaiser 2 (USA);ActRaiser 2 (USA);SuperNES;;;;;;;;;;;;;;;;;;
Addams Family Values (USA) (En,Fr,De);Addams Family Values (USA) (En,Fr,De);SuperNES;;;;;;;;;;;;;;;;;;
Addams Family, The (USA);Addams Family, The (USA);SuperNES;;;;;;;;;;;;;;;;;;
Addams Family, The - Pugsley's Scavenger Hunt (USA);Addams Family, The - Pugsley's Scavenger Hunt (USA);SuperNES;;;;;;;;;;;;;;;;;;
Advanced Dungeons & Dragons - Eye of the Beholder (USA);Advanced Dungeons & Dragons - Eye of the Beholder (USA);SuperNES;;;;;;;;;;;;;;;;;;
Adventures of Batman & Robin, The (USA);Adventures of Batman & Robin, The (USA);SuperNES;;;;;;;;;;;;;;;;;;
Adventures of Dr. Franken, The (USA);Adventures of Dr. Franken, The (USA);SuperNES;;;;;;;;;;;;;;;;;;
Adventures of Kid Kleets, The (USA) (En,Fr,Es);Adventures of Kid Kleets, The (USA) (En,Fr,Es);SuperNES;;;;;;;;;;;;;;;;;;
Adventures of Rocky and Bullwinkle and Friends, The (USA);Adventures of Rocky and Bullwinkle and Friends, The (USA);SuperNES;;;;;;;;;;;;;;;;;;
Adventures of Yogi Bear (USA);Adventures of Yogi Bear (USA);SuperNES;;;;;;;;;;;;;;;;;;
Aero Fighters (USA);Aero Fighters (USA);SuperNES;;;;;;;;;;;;;;;;;;
Aero the Acro-Bat (USA);Aero the Acro-Bat (USA);SuperNES;;;;;;;;;;;;;;;;;;
Aero the Acro-Bat 2 (USA);Aero the Acro-Bat 2 (USA);SuperNES;;;;;;;;;;;;;;;;;;
Aerobiz (USA);Aerobiz (USA);SuperNES;;;;;;;;;;;;;;;;;;
Aerobiz Supersonic (USA);Aerobiz Supersonic (USA);SuperNES;;;;;;;;;;;;;;;;;;
Air Cavalry (USA);Air Cavalry (USA);SuperNES;;;;;;;;;;;;;;;;;;
Al Unser Jr.'s Road to the Top (USA);Al Unser Jr.'s Road to the Top (USA);SuperNES;;;;;;;;;;;;;;;;;;
Aladdin (USA);Aladdin (USA);SuperNES;;;;;;;;;;;;;;;;;;
Alien 3 (USA);Alien 3 (USA);SuperNES;;;;;;;;;;;;;;;;;;
Alien vs Predator (USA);Alien vs Predator (USA);SuperNES;;;;;;;;;;;;;;;;;;
American Gladiators (USA);American Gladiators (USA);SuperNES;;;;;;;;;;;;;;;;;;
American Tail, An - Fievel Goes West (USA);American Tail, An - Fievel Goes West (USA);SuperNES;;;;;;;;;;;;;;;;;;
Andre Agassi Tennis (USA);Andre Agassi Tennis (USA);SuperNES;;;;;;;;;;;;;;;;;;
Animaniacs (USA);Animaniacs (USA);SuperNES;;;;;;;;;;;;;;;;;;
Arcade's Greatest Hits - The Atari Collection 1 (USA);Arcade's Greatest Hits - The Atari Collection 1 (USA);SuperNES;;;;;;;;;;;;;;;;;;
Arcana (USA);Arcana (USA);SuperNES;;;;;;;;;;;;;;;;;;
Archer Maclean's Super Dropzone (Europe);Archer Maclean's Super Dropzone (Europe);SuperNES;;;;;;;;;;;;;;;;;;
Ardy Lightfoot (USA);Ardy Lightfoot (USA);SuperNES;;;;;;;;;;;;;;;;;;
Arkanoid - Doh It Again (USA);Arkanoid - Doh It Again (USA);SuperNES;;;;;;;;;;;;;;;;;;
Art of Fighting (USA);Art of Fighting (USA);SuperNES;;;;;;;;;;;;;;;;;;
Asterix & Obelix (Europe) (En,Fr,De,Es);Asterix & Obelix (Europe) (En,Fr,De,Es);SuperNES;;;;;;;;;;;;;;;;;;
Asterix (Europe) (En,Fr,De,Es);Asterix (Europe) (En,Fr,De,Es);SuperNES;;;;;;;;;;;;;;;;;;
Axelay (USA);Axelay (USA);SuperNES;;;;;;;;;;;;;;;;;;
B.O.B. (USA);B.O.B. (USA);SuperNES;;;;;;;;;;;;;;;;;;
BASS Masters Classic (USA);BASS Masters Classic (USA);SuperNES;;;;;;;;;;;;;;;;;;
BASS Masters Classic - Pro Edition (USA);BASS Masters Classic - Pro Edition (USA);SuperNES;;;;;;;;;;;;;;;;;;
Ballz 3D - Fighting at Its Ballziest (USA);Ballz 3D - Fighting at Its Ballziest (USA);SuperNES;;;;;;;;;;;;;;;;;;
Barbie Super Model (USA);Barbie Super Model (USA);SuperNES;;;;;;;;;;;;;;;;;;
Barkley Shut Up and Jam! (USA);Barkley Shut Up and Jam! (USA);SuperNES;;;;;;;;;;;;;;;;;;
Bassin's Black Bass (USA);Bassin's Black Bass (USA);SuperNES;;;;;;;;;;;;;;;;;;
Batman Forever (USA);Batman Forever (USA);SuperNES;;;;;;;;;;;;;;;;;;
Batman Returns (USA);Batman Returns (USA);SuperNES;;;;;;;;;;;;;;;;;;
Battle Blaze (USA);Battle Blaze (USA);SuperNES;;;;;;;;;;;;;;;;;;
Battle Cars (USA);Battle Cars (USA);SuperNES;;;;;;;;;;;;;;;;;;
Battle Clash (USA);Battle Clash (USA);SuperNES;;;;;;;;;;;;;;;;;;
Battle Grand Prix (USA);Battle Grand Prix (USA);SuperNES;;;;;;;;;;;;;;;;;;
Battletoads in Battlemaniacs (USA);Battletoads in Battlemaniacs (USA);SuperNES;;;;;;;;;;;;;;;;;;
Battletoads-Double Dragon (USA);Battletoads-Double Dragon (USA);SuperNES;;;;;;;;;;;;;;;;;;
Bazooka Blitzkrieg (USA);Bazooka Blitzkrieg (USA);SuperNES;;;;;;;;;;;;;;;;;;
Beauty and the Beast (USA);Beauty and the Beast (USA);SuperNES;;;;;;;;;;;;;;;;;;
Beavis and Butt-Head (USA);Beavis and Butt-Head (USA);SuperNES;;;;;;;;;;;;;;;;;;
Bebe's Kids (USA);Bebe's Kids (USA);SuperNES;;;;;;;;;;;;;;;;;;
Beethoven - The Ultimate Canine Caper! (USA);Beethoven - The Ultimate Canine Caper! (USA);SuperNES;;;;;;;;;;;;;;;;;;
Best of the Best - Championship Karate (USA);Best of the Best - Championship Karate (USA);SuperNES;;;;;;;;;;;;;;;;;;
Big Sky Trooper (USA);Big Sky Trooper (USA);SuperNES;;;;;;;;;;;;;;;;;;
Biker Mice from Mars (USA);Biker Mice from Mars (USA);SuperNES;;;;;;;;;;;;;;;;;;
