#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
1943 Kai (Japan);1943 Kai (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
21 Emon - Mezase Hotel Ou!! (Japan);21 Emon - Mezase Hotel Ou!! (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
AV Poker - World Gambler (Japan) (Unl);AV Poker - World Gambler (Japan) (Unl);TurboGrafx16;;;;;;;;;;;;;;;;;;
Aero Blasters (USA);Aero Blasters (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
After Burner II (Japan);After Burner II (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Air Zonk (USA);Air Zonk (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Alien Crush (USA);Alien Crush (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Andre Panza Kick Boxing (USA);Andre Panza Kick Boxing (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Aoi Blink (Japan);Aoi Blink (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Appare! Gateball (Japan);Appare! Gateball (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Armed F (Japan);Armed F (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Artist Tool (Japan);Artist Tool (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Atomic Robo-Kid Special (Japan);Atomic Robo-Kid Special (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Ballistix (USA);Ballistix (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Bari Bari Densetsu (Japan);Bari Bari Densetsu (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Barunba (Japan);Barunba (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Batman (Japan);Batman (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Battle Lode Runner (Japan);Battle Lode Runner (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Battle Royale (USA);Battle Royale (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Benkei Gaiden (Japan);Benkei Gaiden (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Bikkuriman World (Japan);Bikkuriman World (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Blazing Lazers (USA);Blazing Lazers (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Bloody Wolf (USA);Bloody Wolf (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Bodycon Quest II (Japan) (Unl);Bodycon Quest II (Japan) (Unl);TurboGrafx16;;;;;;;;;;;;;;;;;;
Bomberman '93 (USA);Bomberman '93 (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Bomberman '93 - Special Version (Japan);Bomberman '93 - Special Version (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Bomberman '94 (Japan);Bomberman '94 (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Bomberman (USA);Bomberman (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Bomberman - Users Battle (Japan);Bomberman - Users Battle (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
